,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
POSTN,0,1.31859508173168,0.714,0.232,0,0,POSTN
CCL14,0,1.21158769426772,0.909,0.372,0,0,CCL14
HLA-DQA1,0,1.12397999322602,0.736,0.233,0,0,HLA-DQA1
SOD2,0,1.02185095323248,0.858,0.53,0,0,SOD2
ADM5,0,0.986513229924123,0.521,0.168,0,0,ADM5
IL33,0,0.986023396125502,0.764,0.269,0,0,IL33
ACKR1,0,0.984618486328324,0.94,0.495,0,0,ACKR1
RND1,0,0.946800685540864,0.864,0.47,0,0,RND1
ZNF385D,0,0.930951841945183,0.834,0.411,0,0,ZNF385D
HLA-DQB1,0,0.910443903490221,0.771,0.342,0,0,HLA-DQB1
NCOA7,0,0.905885259498708,0.891,0.57,0,0,NCOA7
SELE,0,0.888653889969013,0.825,0.46,0,0,SELE
TSPAN7,0,0.843860381737969,0.891,0.486,0,0,TSPAN7
HLA-DRB5,0,0.839506868626227,0.893,0.533,0,0,HLA-DRB5
CLU,0,0.838761514185255,0.808,0.392,0,0,CLU
HLA-DRA,0,0.793359310480032,0.982,0.614,0,0,HLA-DRA
HLA-DMA,0,0.732194258787661,0.801,0.42,0,0,HLA-DMA
HLA-DPB1,0,0.73089396645086,0.917,0.581,0,0,HLA-DPB1
HLA-DPA1,0,0.714478991580815,0.954,0.649,0,0,HLA-DPA1
ICAM1,0,0.69723809107623,0.958,0.725,0,0,ICAM1
HLA-DRB1,0,0.655606364316161,0.993,0.76,0,0,HLA-DRB1
CDKN1A,0,0.606428503283606,0.97,0.758,0,0,CDKN1A
NNMT,0,0.577775657497003,0.915,0.67,0,0,NNMT
ADIRF,0,0.562947326956894,0.799,0.449,0,0,ADIRF
NPC2,0,0.554743432057909,0.932,0.76,0,0,NPC2
CD74,0,0.511242895801967,0.999,0.874,0,0,CD74
SDCBP,0,0.509194983416458,0.932,0.733,0,0,SDCBP
NFKBIA,0,0.385490788752155,0.994,0.928,0,0,NFKBIA
PDLIM1,0,0.384785019737839,0.989,0.906,0,0,PDLIM1
SPARCL1,0,0.362705356531746,0.998,0.882,0,0,SPARCL1
ZFP36,0,0.343202536291894,0.998,0.934,0,0,ZFP36
COL4A2,0,-0.73799605463266,0.691,0.799,0,0,COL4A2
COL4A1,0,-0.888042278436911,0.617,0.774,0,0,COL4A1
MMP2,0,-1.15389189602203,0.188,0.554,0,0,MMP2
CEBPD,1.00873382911407e-319,0.476204314456143,0.719,0.375,1.44299374254768e-315,0,CEBPD
SLC9A3R2,2.48537403996297e-315,-1.07645785175815,0.32,0.648,3.55532756416704e-311,0,SLC9A3R2
AQP1,3.59955614275198e-308,0.386392324160895,0.961,0.775,5.1491650622067e-304,0,AQP1
IER3,1.79032640590333e-305,0.612443009848983,0.906,0.702,2.56106192364471e-301,0,IER3
DUSP23,1.63834990028949e-301,0.519214566442876,0.89,0.652,2.34365953236412e-297,0,DUSP23
SERPINA3,6.25107506716882e-293,1.06437103503714,0.261,0.03,8.942162883585e-289,0,SERPINA3
LGALS3,1.96254508959149e-291,0.447763047227382,0.92,0.723,2.80742075066063e-287,0,LGALS3
LITAF,5.42622062160847e-286,0.877516190513414,0.683,0.376,7.76220859921092e-282,0,LITAF
TGFBR3,2.10003720137781e-285,0.735483954212678,0.623,0.28,3.00410321657096e-281,0,TGFBR3
CDC42EP3,5.6971383613137e-283,0.670922325161431,0.806,0.503,8.14975642585925e-279,0,CDC42EP3
LAPTM5,2.53439239766587e-280,-1.05978610155014,0.058,0.349,3.62544832486103e-276,0,LAPTM5
LGALS1,9.79116057762691e-280,-0.765103121176377,0.568,0.749,1.40062552062953e-275,0,LGALS1
PODXL,1.20100552864748e-278,-0.911456684603889,0.376,0.671,1.71803840873021e-274,0,PODXL
ETS2,1.48888062780179e-278,0.385039578003965,0.966,0.831,2.12984373807046e-274,0,ETS2
SELP,7.13622944252054e-277,0.753788043990719,0.68,0.321,1.02083762175256e-272,0,SELP
FN1,6.38646811781213e-276,-1.1942444628846,0.131,0.453,9.13584264253024e-272,0,FN1
RCAN1,5.50216448979026e-274,0.697074974889763,0.847,0.592,7.87084630264497e-270,0,RCAN1
TESC,6.97558025551482e-273,0.786528790088745,0.488,0.175,9.97856755551395e-269,0,TESC
LIFR,5.3631107770743e-270,0.59614969237662,0.524,0.222,7.67192996660479e-266,0,LIFR
IL1R1,7.25243172117956e-267,0.688022206766639,0.479,0.177,1.03746035771474e-262,0,IL1R1
SERPING1,1.75766638251564e-262,0.528808235793765,0.804,0.497,2.51434176018863e-258,0,SERPING1
SOCS3,3.11985902375248e-261,0.483438900154587,0.944,0.81,4.46295833347792e-257,0,SOCS3
CSF3,2.42575942093601e-257,1.117205139974,0.455,0.151,3.47004885164896e-253,0,CSF3
NFKBIZ,1.59528799745874e-254,0.537796725900239,0.87,0.613,2.28205948036473e-250,0,NFKBIZ
MIR4435-2HG,1.10610238850755e-252,-0.998569218668137,0.173,0.47,1.58227946676005e-248,0,MIR4435-2HG
TGFBR2,5.93196682909449e-251,0.411694220478459,0.904,0.735,8.48567854901966e-247,0,TGFBR2
EVA1C,2.19380266610509e-244,0.698560441763767,0.67,0.352,3.13823471386333e-240,0,EVA1C
RAB31,2.20683633613112e-244,-0.937278003418263,0.104,0.39,3.15687937883557e-240,0,RAB31
CALM1,5.31507667201289e-241,-0.259917824687113,0.964,0.963,7.60321717931444e-237,0,CALM1
MMRN1,5.64488838316664e-241,0.650354662654606,0.535,0.23,8.07501283211988e-237,0,MMRN1
CNKSR3,1.82672923971177e-237,0.756265765799861,0.625,0.319,2.61313617740769e-233,0,CNKSR3
TFPI,4.36655514923186e-228,0.431010593613303,0.743,0.476,6.24635714097617e-224,0,TFPI
LAMA4,9.75911349626615e-228,-0.788527507852451,0.37,0.64,1.39604118564087e-223,0,LAMA4
TPD52L1,3.1686480866487e-226,0.595113214246335,0.497,0.22,4.53275108795097e-222,0,TPD52L1
NAMPT,6.74737302127449e-226,0.544177920480044,0.845,0.611,9.65211710693316e-222,0,NAMPT
COL6A2,9.18048804911056e-226,-0.90974818188489,0.228,0.522,1.31326881542527e-221,0,COL6A2
MAP1B,6.2312340350233e-225,-0.88388274582619,0.209,0.501,8.91378028710083e-221,0,MAP1B
BGN,1.65552315124703e-221,-1.01108266922252,0.187,0.483,2.36822586785887e-217,0,BGN
ELOVL7,3.39706505052692e-221,0.702132289295603,0.383,0.122,4.85950155477876e-217,0,ELOVL7
CCL23,3.41216581725684e-220,0.709891462611748,0.315,0.086,4.88110320158591e-216,0,CCL23
OLFM1,5.22231477796406e-220,0.638220110403698,0.535,0.254,7.47052128987759e-216,0,OLFM1
BTG2,2.96343669848023e-219,0.528041613409852,0.8,0.521,4.23919619717596e-215,0,BTG2
MAP3K8,4.51637318979036e-218,0.59903990622032,0.768,0.49,6.46067184799511e-214,0,MAP3K8
UGCG,3.44863969815391e-215,0.608088170004277,0.761,0.504,4.93327908820916e-211,0,UGCG
C2CD4B,5.29125027625098e-210,0.773721064291911,0.644,0.351,7.56913352017702e-206,0,C2CD4B
PPP1R15A,8.99051348409294e-208,0.263513613630763,0.98,0.865,1.28609295389949e-203,0,PPP1R15A
PLSCR1,2.39412225797039e-206,0.445165609746903,0.85,0.663,3.42479189002664e-202,0,PLSCR1
MCTP1,4.77812959715229e-206,0.520273676649857,0.839,0.596,6.83511438872635e-202,0,MCTP1
ITPKC,8.77611386682164e-204,0.782516733195186,0.466,0.187,1.25542308864883e-199,0,ITPKC
LRRC1,1.00598899387373e-203,0.67087044867494,0.395,0.139,1.43906725573636e-199,0,LRRC1
ATP1A1,1.06366119594879e-203,0.434857771792255,0.9,0.721,1.52156734080474e-199,0,ATP1A1
ID1,1.41858602074541e-203,-0.810175326462343,0.467,0.73,2.02928730267631e-199,0,ID1
PHLDA1,7.18879262047954e-202,0.603568894830832,0.755,0.482,1.0283567843596e-197,0,PHLDA1
CDH13,5.82147058522933e-199,-0.864485771818244,0.163,0.436,8.32761367217056e-195,0,CDH13
ARID5B,6.36252232535614e-199,0.552469135412566,0.777,0.557,9.10158818642196e-195,0,ARID5B
CLDN5,2.36319082653159e-198,0.454357015921051,0.877,0.677,3.38054447735344e-194,0,CLDN5
EEF1G,1.13706949221459e-197,0.270378365391773,0.953,0.874,1.62657790861297e-193,0,EEF1G
SLC2A3,5.404904699441e-197,0.393903850102653,0.939,0.778,7.73171617255035e-193,0,SLC2A3
CYGB,3.27989284463974e-195,0.572314484892831,0.216,0.041,4.69188671425714e-191,0,CYGB
HECW2,1.34795940558758e-194,-0.838215843749752,0.09,0.342,1.92825592969303e-190,0,HECW2
CTSC,4.02372263033785e-194,0.5971735347289,0.695,0.43,5.75593522269829e-190,0,CTSC
C4orf48,5.02280079944662e-193,-0.788164864691197,0.246,0.511,7.18511654360839e-189,0,C4orf48
LPCAT4,6.14164091501194e-190,0.602373216224153,0.523,0.268,8.78561732892458e-186,0,LPCAT4
CSRNP1,6.34752049726847e-189,0.495623565105171,0.788,0.538,9.08012807134255e-185,0,CSRNP1
ADRB2,5.48887361433676e-188,0.645822451280563,0.313,0.097,7.85183370530874e-184,0,ADRB2
DNAJA1,8.84170045582796e-187,0.28954998088314,0.965,0.861,1.26480525020619e-182,0,DNAJA1
C7,1.04074016262512e-185,0.706193049841451,0.287,0.079,1.48877880263523e-181,0,C7
EPS8,4.72023068754835e-185,0.62564797061803,0.539,0.265,6.75228999853792e-181,0,EPS8
TM4SF1,1.66601304763454e-183,0.251765075373389,0.992,0.946,2.38323166464121e-179,0,TM4SF1
ZC3H12A,1.83934662769419e-182,0.616368155917895,0.586,0.324,2.63118535091654e-178,0,ZC3H12A
TACR1,1.10277128498625e-181,0.636490746463586,0.286,0.08,1.57751432317283e-177,0,TACR1
SNCG,7.86819021483546e-181,0.524101635425699,0.657,0.4,1.12554461023221e-176,0,SNCG
HSPG2,4.61041813647092e-180,-0.303277926657676,0.889,0.886,6.59520314422165e-176,0,HSPG2
JAM2,1.35368505786862e-179,0.418084368035634,0.821,0.595,1.93644647528106e-175,0,JAM2
ADAMTSL2,2.70754033055868e-179,-0.737610324503792,0.023,0.215,3.87313644286419e-175,0,ADAMTSL2
RGS3,1.10634723295054e-178,-0.791223660014532,0.268,0.509,1.58262971673574e-174,0,RGS3
RHOB,2.03193213377174e-178,-0.474706572149859,0.723,0.833,2.90667891736048e-174,0,RHOB
DDIT4,1.15601655275177e-177,-0.876270071980553,0.287,0.518,1.65368167871141e-173,0,DDIT4
SERTAD1,2.64613080771899e-177,0.42441654587618,0.876,0.677,3.78529012044202e-173,0,SERTAD1
C1QTNF1,2.5547843487708e-176,0.598397721534769,0.278,0.078,3.65461901091663e-172,0,C1QTNF1
ESM1,2.62383235331436e-176,-0.94730800557614,0.004,0.156,3.7533921814162e-172,0,ESM1
MLEC,2.98761368739441e-176,-0.754587505176892,0.296,0.526,4.27378137981771e-172,0,MLEC
IGFBP3,1.60558641490305e-173,-1.15548752004687,0.106,0.339,2.29679136651882e-169,0,IGFBP3
UNC5B,1.813315261032e-172,-0.698219625154932,0.01,0.175,2.59394748090628e-168,0,UNC5B
ZFAND5,1.50913038563275e-171,0.42131936557473,0.848,0.682,2.15881101664764e-167,0,ZFAND5
YBX3,1.45764897703603e-170,0.362732380513187,0.904,0.755,2.08516686165004e-166,0,YBX3
CCND1,1.8081131017786e-170,-0.832705783894094,0.158,0.405,2.58650579209429e-166,0,CCND1
PRCP,2.2776911048322e-170,0.287214200563349,0.918,0.764,3.25823712546246e-166,0,PRCP
HAPLN1,3.33338405266644e-170,-0.84627048826774,0.003,0.151,4.76840588733934e-166,0,HAPLN1
HLA-DQA2,2.54342348418763e-167,0.698366007383575,0.277,0.075,3.6383672941304e-163,0,HLA-DQA2
INSR,9.32947556682411e-167,-0.751656361794761,0.325,0.531,1.33458147983419e-162,0,INSR
FBLIM1,1.30583785105715e-166,-0.712501959519894,0.038,0.236,1.86800104593725e-162,0,FBLIM1
CALD1,5.06607230226331e-166,-0.492611848672669,0.634,0.786,7.24701642838766e-162,0,CALD1
EXOC3L1,6.81657938123929e-165,-0.641109321777111,0.037,0.233,9.7511168048628e-161,0,EXOC3L1
SOX18,3.73377210276187e-164,-0.787467171909563,0.266,0.528,5.34116099300086e-160,0,SOX18
TLL1,1.1123086466887e-163,0.650043941371378,0.397,0.16,1.59115751908819e-159,0,TLL1
VWA1,1.11389311925235e-161,-0.599739804997222,0.477,0.633,1.59342410709049e-157,0,VWA1
BACE2,7.94407690923845e-161,0.430870413504088,0.872,0.703,1.13640020186656e-156,0,BACE2
STMN1,7.95224661587145e-161,-0.637161539819319,0.443,0.612,1.13756887840041e-156,0,STMN1
EGFL7,1.4063723906689e-160,-0.471123526992646,0.708,0.844,2.01181570485186e-156,0,EGFL7
LINC-PINT,2.14200730783065e-160,0.681333852888004,0.533,0.284,3.06414145385175e-156,0,LINC-PINT
CRIP1,3.35210808150164e-159,-0.78058156490017,0.338,0.592,4.7951906105881e-155,0,CRIP1
IL6,1.28413467018667e-154,0.738033929987312,0.367,0.145,1.83695464570203e-150,0,IL6
