,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CA2,0,1.24758502249168,0.382,0.055,0,capillary,CA2
COL4A1,0,1.21047957634665,0.97,0.59,0,capillary,COL4A1
RGCC,0,1.17274343823195,0.893,0.401,0,capillary,RGCC
HAPLN1,0,1.14471644494765,0.265,0.023,0,capillary,HAPLN1
COL6A2,0,1.11509253643439,0.722,0.285,0,capillary,COL6A2
COL4A2,0,1.10826378490731,0.985,0.64,0,capillary,COL4A2
PMEPA1,0,0.990800550810667,0.544,0.186,0,capillary,PMEPA1
COL13A1,0,0.962726256102276,0.346,0.069,0,capillary,COL13A1
INSR,0,0.959514158988408,0.727,0.33,0,capillary,INSR
VWA1,0,0.941425403161666,0.861,0.43,0,capillary,VWA1
SPRY4,0,0.93461320824692,0.563,0.205,0,capillary,SPRY4
LAMA4,0,0.904208444193904,0.813,0.428,0,capillary,LAMA4
MLEC,0,0.899124958073229,0.71,0.323,0,capillary,MLEC
ADAMTSL2,0,0.880276775303181,0.336,0.066,0,capillary,ADAMTSL2
CD276,0,0.869683789592553,0.443,0.139,0,capillary,CD276
HECW2,0,0.868310805276381,0.476,0.161,0,capillary,HECW2
APLNR,0,0.860504070867721,0.661,0.297,0,capillary,APLNR
C1orf54,0,0.843344554113383,0.8,0.397,0,capillary,C1orf54
EDIL3,0,0.837815188131253,0.426,0.119,0,capillary,EDIL3
LAMB1,0,0.83593997310321,0.797,0.437,0,capillary,LAMB1
LBH,0,0.828164783245902,0.606,0.266,0,capillary,LBH
DYSF,0,0.811687337760162,0.602,0.269,0,capillary,DYSF
MMP2,0,0.805966344617821,0.711,0.315,0,capillary,MMP2
LGALS1,0,0.803775601766701,0.898,0.587,0,capillary,LGALS1
FSTL1,0,0.790166438887173,0.832,0.511,0,capillary,FSTL1
MCAM,0,0.784062057512692,0.786,0.443,0,capillary,MCAM
MAP1B,0,0.757201148032435,0.642,0.301,0,capillary,MAP1B
HTRA1,0,0.727671579003641,0.827,0.512,0,capillary,HTRA1
PCDH17,0,0.725929653574953,0.829,0.496,0,capillary,PCDH17
SERPINE1,0,0.712406472169548,0.845,0.51,0,capillary,SERPINE1
COL15A1,0,0.696220618957392,0.933,0.606,0,capillary,COL15A1
FSCN1,0,0.603022579091456,0.832,0.539,0,capillary,FSCN1
HSPG2,0,0.561915840835949,0.987,0.824,0,capillary,HSPG2
SPARC,0,0.558698877763951,0.994,0.863,0,capillary,SPARC
SERPINH1,0,0.463215155633724,0.949,0.773,0,capillary,SERPINH1
ENG,0,0.349009712894672,0.986,0.884,0,capillary,ENG
PLVAP,0,0.340205943804814,0.988,0.843,0,capillary,PLVAP
RPL35A,0,-0.255716741722245,0.989,0.994,0,capillary,RPL35A
RPS25,0,-0.25594840064419,0.988,0.991,0,capillary,RPS25
RPL30,0,-0.272624143230327,0.994,0.999,0,capillary,RPL30
RPL34,0,-0.29076939729236,0.993,0.997,0,capillary,RPL34
RPL17,0,-0.292103174061813,0.97,0.982,0,capillary,RPL17
FTH1,0,-0.304231052109889,0.984,0.991,0,capillary,FTH1
HLA-E,0,-0.334269338286911,0.985,0.988,0,capillary,HLA-E
SOCS3,0,-0.588408082073455,0.788,0.875,0,capillary,SOCS3
TGFBR2,0,-0.615685848473593,0.688,0.829,0,capillary,TGFBR2
CD74,0,-0.679148263957194,0.82,0.955,0,capillary,CD74
SDCBP,0,-0.699461464943843,0.667,0.85,0,capillary,SDCBP
GADD45B,0,-0.7260185342615,0.681,0.83,0,capillary,GADD45B
CDKN1A,0,-0.741266680999297,0.724,0.86,0,capillary,CDKN1A
LGALS3,0,-0.747051968753998,0.644,0.848,0,capillary,LGALS3
NNMT,0,-0.768329750274744,0.606,0.804,0,capillary,NNMT
HLA-DRB1,0,-0.790836033616804,0.723,0.872,0,capillary,HLA-DRB1
HLA-DPA1,0,-0.800241793324703,0.611,0.789,0,capillary,HLA-DPA1
HLA-DPB1,0,-0.824232158229403,0.532,0.74,0,capillary,HLA-DPB1
SOD2,0,-0.839712705015894,0.51,0.668,0,capillary,SOD2
HLA-DMA,0,-0.884878832863457,0.348,0.611,0,capillary,HLA-DMA
ACKR1,0,-0.902853278305059,0.494,0.666,0,capillary,ACKR1
HLA-DRB5,0,-0.962814946002857,0.455,0.72,0,capillary,HLA-DRB5
CLDN5,0,-0.963417664214513,0.583,0.812,0,capillary,CLDN5
PLSCR4,0,-0.985124714021025,0.038,0.293,0,capillary,PLSCR4
KCTD12,0,-1.00152835873134,0.258,0.547,0,capillary,KCTD12
HLA-DRA,0,-1.01457441869801,0.523,0.812,0,capillary,HLA-DRA
HLA-DQB1,0,-1.04975712896707,0.263,0.556,0,capillary,HLA-DQB1
SERPING1,0,-1.05136839550874,0.347,0.708,0,capillary,SERPING1
TSPAN7,0,-1.10196874732823,0.379,0.708,0,capillary,TSPAN7
TXNIP,0,-1.12328924801913,0.396,0.715,0,capillary,TXNIP
LIFR,0,-1.25324633259464,0.1,0.414,0,capillary,LIFR
TFPI,0,-1.29189840330916,0.323,0.675,0,capillary,TFPI
HLA-DQA1,0,-1.34994275417334,0.139,0.485,0,capillary,HLA-DQA1
MMRN1,0,-1.48261037397546,0.082,0.44,0,capillary,MMRN1
ADIRF,0,-1.53735856779815,0.272,0.694,0,capillary,ADIRF
IL33,0,-1.56159471323201,0.112,0.557,0,capillary,IL33
CEBPD,0,-1.62697248084514,0.197,0.618,0,capillary,CEBPD
CCL14,0,-1.71726200643782,0.262,0.647,0,capillary,CCL14
CLU,0,-2.08467990087269,0.187,0.68,0,capillary,CLU
RPS27,5.23709584591721e-322,-0.268743246087812,0.99,0.991,7.49166560758457e-318,capillary,RPS27
NRN1,1.02271588689138e-321,-0.864299897494206,0.287,0.538,1.46299507619812e-317,capillary,NRN1
IL6,1.97050671859094e-318,-1.35396075314919,0.052,0.288,2.81880986094433e-314,capillary,IL6
IGFBP4,2.92463956466545e-315,-0.357560854767044,0.953,0.969,4.18369689725393e-311,capillary,IGFBP4
MYO1B,5.36005709557392e-315,0.825638978359297,0.544,0.235,7.66756167521849e-311,capillary,MYO1B
IER3,4.22101471406812e-311,-0.708320443918001,0.657,0.808,6.03816154847444e-307,capillary,IER3
RPL5,5.48578249786763e-309,-0.26081539407769,0.975,0.987,7.84741186319965e-305,capillary,RPL5
C7,1.39344868464761e-308,-1.02154368946864,0.009,0.202,1.99332834338841e-304,capillary,C7
SNCG,2.97230660173705e-308,-0.854301269648411,0.315,0.552,4.25188459378485e-304,capillary,SNCG
FAM167B,4.57762508559983e-307,0.66076429114878,0.758,0.443,6.54829268495055e-303,capillary,FAM167B
BGN,4.08315310122118e-305,0.781755708694423,0.614,0.288,5.8409505112969e-301,capillary,BGN
TM4SF18,3.53143406923407e-303,0.629095574383469,0.722,0.412,5.05171643603933e-299,capillary,TM4SF18
NPC2,8.58798170201629e-303,-0.490901312557686,0.755,0.829,1.22851078247343e-298,capillary,NPC2
SOX4,5.11364111899826e-302,0.534272035661871,0.842,0.549,7.31506362072701e-298,capillary,SOX4
ANGPTL2,2.52468982282275e-301,0.825349309785458,0.501,0.204,3.61156879154795e-297,capillary,ANGPTL2
PLAU,2.46110749053334e-298,0.866990583357054,0.392,0.114,3.52061426520794e-294,capillary,PLAU
APLN,4.19511435097922e-296,0.98583581122087,0.242,0.033,6.00111107907577e-292,capillary,APLN
MYC,6.25934698989309e-296,-0.969788976232927,0.261,0.498,8.95399586904206e-292,capillary,MYC
NREP,1.0232444732978e-295,0.763435600277544,0.617,0.32,1.46375121905251e-291,capillary,NREP
CD81,1.43624898786872e-294,0.552070339258741,0.847,0.586,2.0545541771462e-290,capillary,CD81
PTPRG,1.81341745271908e-293,0.749979663433251,0.575,0.258,2.59409366611464e-289,capillary,PTPRG
CDH13,3.00251622184858e-293,0.752781522324397,0.565,0.251,4.29509945535439e-289,capillary,CDH13
AKAP12,1.36337512344865e-282,-1.1158080398273,0.053,0.28,1.95030811409329e-278,capillary,AKAP12
SYNGR2,1.75855222327195e-281,-0.613978256938034,0.54,0.72,2.51560895539052e-277,capillary,SYNGR2
COLGALT1,5.9570530101624e-280,0.761913911494401,0.461,0.177,8.52156433103731e-276,capillary,COLGALT1
APCDD1,3.77600076143969e-279,0.879513347058697,0.369,0.109,5.40156908923947e-275,capillary,APCDD1
POSTN,8.42539127407044e-278,-1.05539371541987,0.194,0.441,1.20525222175578e-273,capillary,POSTN
IGFBP5,6.04153084050303e-276,1.26047110827132,0.328,0.09,8.64240986733958e-272,capillary,IGFBP5
CYP1B1,9.314649173203e-276,-1.16375044851773,0.083,0.316,1.33246056422669e-271,capillary,CYP1B1
MT2A,1.16830091054621e-275,-0.897173328074947,0.5,0.667,1.67125445253635e-271,capillary,MT2A
BTG2,1.49501061295997e-275,-0.751785990273746,0.448,0.673,2.13861268183923e-271,capillary,BTG2
EGR1,6.28508473011174e-271,-0.76194941916272,0.521,0.736,8.99081370642484e-267,capillary,EGR1
IGFBP2,4.3741812433338e-269,-0.93069762947846,0.082,0.33,6.25726626858899e-265,capillary,IGFBP2
GLUL,1.14621770534055e-268,-0.707674567747092,0.462,0.653,1.63966442748966e-264,capillary,GLUL
GPR4,6.46493094243537e-267,0.726500915220165,0.509,0.222,9.2480837131538e-263,capillary,GPR4
C4orf48,1.67500065074516e-264,0.674242102442662,0.636,0.331,2.39608843089095e-260,capillary,C4orf48
JUNB,1.15872098303956e-263,-0.311572554062788,0.966,0.981,1.65755036623809e-259,capillary,JUNB
ESM1,1.16160732674587e-263,1.0742630009009,0.243,0.043,1.66167928090996e-259,capillary,ESM1
YBX3,1.42834744716829e-262,-0.474875973106754,0.735,0.824,2.04325102317423e-258,capillary,YBX3
FBLN2,2.43017637969659e-260,-0.984910510973256,0.05,0.275,3.47636731115597e-256,capillary,FBLN2
JUP,2.59826522423176e-260,0.70181678833175,0.579,0.279,3.71681840326353e-256,capillary,JUP
ARHGDIB,7.24338775008024e-260,0.461820446565317,0.867,0.645,1.03616661764898e-255,capillary,ARHGDIB
MIR4435-2HG,9.89624481467251e-260,0.74852078930312,0.58,0.287,1.4156578207389e-255,capillary,MIR4435-2HG
