,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CA2,0,1.24758502249168,0.382,0.055,0,capillary,CA2
COL4A1,0,1.21047957634665,0.97,0.59,0,capillary,COL4A1
RGCC,0,1.17274343823195,0.893,0.401,0,capillary,RGCC
HAPLN1,0,1.14471644494765,0.265,0.023,0,capillary,HAPLN1
COL6A2,0,1.11509253643439,0.722,0.285,0,capillary,COL6A2
COL4A2,0,1.10826378490731,0.985,0.64,0,capillary,COL4A2
PMEPA1,0,0.990800550810667,0.544,0.186,0,capillary,PMEPA1
COL13A1,0,0.962726256102276,0.346,0.069,0,capillary,COL13A1
INSR,0,0.959514158988408,0.727,0.33,0,capillary,INSR
VWA1,0,0.941425403161666,0.861,0.43,0,capillary,VWA1
SPRY4,0,0.93461320824692,0.563,0.205,0,capillary,SPRY4
LAMA4,0,0.904208444193904,0.813,0.428,0,capillary,LAMA4
MLEC,0,0.899124958073229,0.71,0.323,0,capillary,MLEC
ADAMTSL2,0,0.880276775303181,0.336,0.066,0,capillary,ADAMTSL2
CD276,0,0.869683789592553,0.443,0.139,0,capillary,CD276
HECW2,0,0.868310805276381,0.476,0.161,0,capillary,HECW2
APLNR,0,0.860504070867721,0.661,0.297,0,capillary,APLNR
C1orf54,0,0.843344554113383,0.8,0.397,0,capillary,C1orf54
EDIL3,0,0.837815188131253,0.426,0.119,0,capillary,EDIL3
LAMB1,0,0.83593997310321,0.797,0.437,0,capillary,LAMB1
LBH,0,0.828164783245902,0.606,0.266,0,capillary,LBH
DYSF,0,0.811687337760162,0.602,0.269,0,capillary,DYSF
MMP2,0,0.805966344617821,0.711,0.315,0,capillary,MMP2
LGALS1,0,0.803775601766701,0.898,0.587,0,capillary,LGALS1
FSTL1,0,0.790166438887173,0.832,0.511,0,capillary,FSTL1
MCAM,0,0.784062057512692,0.786,0.443,0,capillary,MCAM
MAP1B,0,0.757201148032435,0.642,0.301,0,capillary,MAP1B
HTRA1,0,0.727671579003641,0.827,0.512,0,capillary,HTRA1
PCDH17,0,0.725929653574953,0.829,0.496,0,capillary,PCDH17
SERPINE1,0,0.712406472169548,0.845,0.51,0,capillary,SERPINE1
COL15A1,0,0.696220618957392,0.933,0.606,0,capillary,COL15A1
FSCN1,0,0.603022579091456,0.832,0.539,0,capillary,FSCN1
HSPG2,0,0.561915840835949,0.987,0.824,0,capillary,HSPG2
SPARC,0,0.558698877763951,0.994,0.863,0,capillary,SPARC
SERPINH1,0,0.463215155633724,0.949,0.773,0,capillary,SERPINH1
ENG,0,0.349009712894672,0.986,0.884,0,capillary,ENG
PLVAP,0,0.340205943804814,0.988,0.843,0,capillary,PLVAP
MYO1B,5.36005709557392e-315,0.825638978359297,0.544,0.235,7.66756167521849e-311,capillary,MYO1B
FAM167B,4.57762508559983e-307,0.66076429114878,0.758,0.443,6.54829268495055e-303,capillary,FAM167B
BGN,4.08315310122118e-305,0.781755708694423,0.614,0.288,5.8409505112969e-301,capillary,BGN
TM4SF18,3.53143406923407e-303,0.629095574383469,0.722,0.412,5.05171643603933e-299,capillary,TM4SF18
SOX4,5.11364111899826e-302,0.534272035661871,0.842,0.549,7.31506362072701e-298,capillary,SOX4
ANGPTL2,2.52468982282275e-301,0.825349309785458,0.501,0.204,3.61156879154795e-297,capillary,ANGPTL2
PLAU,2.46110749053334e-298,0.866990583357054,0.392,0.114,3.52061426520794e-294,capillary,PLAU
APLN,4.19511435097922e-296,0.98583581122087,0.242,0.033,6.00111107907577e-292,capillary,APLN
NREP,1.0232444732978e-295,0.763435600277544,0.617,0.32,1.46375121905251e-291,capillary,NREP
CD81,1.43624898786872e-294,0.552070339258741,0.847,0.586,2.0545541771462e-290,capillary,CD81
PTPRG,1.81341745271908e-293,0.749979663433251,0.575,0.258,2.59409366611464e-289,capillary,PTPRG
CDH13,3.00251622184858e-293,0.752781522324397,0.565,0.251,4.29509945535439e-289,capillary,CDH13
COLGALT1,5.9570530101624e-280,0.761913911494401,0.461,0.177,8.52156433103731e-276,capillary,COLGALT1
APCDD1,3.77600076143969e-279,0.879513347058697,0.369,0.109,5.40156908923947e-275,capillary,APCDD1
IGFBP5,6.04153084050303e-276,1.26047110827132,0.328,0.09,8.64240986733958e-272,capillary,IGFBP5
GPR4,6.46493094243537e-267,0.726500915220165,0.509,0.222,9.2480837131538e-263,capillary,GPR4
C4orf48,1.67500065074516e-264,0.674242102442662,0.636,0.331,2.39608843089095e-260,capillary,C4orf48
ESM1,1.16160732674587e-263,1.0742630009009,0.243,0.043,1.66167928090996e-259,capillary,ESM1
JUP,2.59826522423176e-260,0.70181678833175,0.579,0.279,3.71681840326353e-256,capillary,JUP
ARHGDIB,7.24338775008024e-260,0.461820446565317,0.867,0.645,1.03616661764898e-255,capillary,ARHGDIB
MIR4435-2HG,9.89624481467251e-260,0.74852078930312,0.58,0.287,1.4156578207389e-255,capillary,MIR4435-2HG
VWF,1.06364746769499e-259,0.318966411231187,0.956,0.803,1.52154770253768e-255,capillary,VWF
RAB31,3.57994606048745e-256,0.719228706761247,0.497,0.213,5.1211128395273e-252,capillary,RAB31
F2RL3,4.98854112480131e-252,0.740563863817492,0.436,0.164,7.13610807902827e-248,capillary,F2RL3
ITIH5,2.20036610986149e-251,0.806077871416904,0.379,0.13,3.14762372015686e-247,capillary,ITIH5
PODXL,6.66202039806081e-244,0.532083493991399,0.769,0.496,9.53002017942599e-240,capillary,PODXL
THY1,5.4410108929933e-243,0.810652681027882,0.356,0.114,7.78336608242692e-239,capillary,THY1
RHOB,1.7545551603382e-241,0.344025118278511,0.917,0.738,2.50989115686379e-237,capillary,RHOB
P2RY6,2.89976467875097e-238,0.762787146761572,0.346,0.111,4.14811337295326e-234,capillary,P2RY6
PLXND1,1.97425968165596e-237,0.543666340678428,0.783,0.534,2.82417847460885e-233,capillary,PLXND1
NRP1,3.86988942249438e-235,0.452147808138991,0.803,0.535,5.53587681887822e-231,capillary,NRP1
RASGRP3,3.98272462618907e-235,0.650420562986674,0.539,0.265,5.69728757776347e-231,capillary,RASGRP3
PXDN,6.54275092402379e-233,0.667657856631716,0.64,0.382,9.35940519681603e-229,capillary,PXDN
CCND1,1.18433337936384e-230,0.702568022631571,0.514,0.243,1.69418889917998e-226,capillary,CCND1
RGS3,1.09717815227339e-229,0.662785585023411,0.623,0.346,1.56951334682709e-225,capillary,RGS3
SEMA3F,1.83973300965431e-229,0.706057711440522,0.412,0.158,2.63173807031049e-225,capillary,SEMA3F
CALD1,1.79641774405752e-223,0.433246624155373,0.883,0.667,2.56977558287428e-219,capillary,CALD1
ADGRF5,5.07170450456752e-222,0.543015731321876,0.692,0.42,7.25507329378384e-218,capillary,ADGRF5
COL18A1,3.23450380642513e-219,0.513415101694224,0.805,0.569,4.62695769509115e-215,capillary,COL18A1
GRB10,1.33364302461931e-218,0.621396831435883,0.559,0.292,1.90777634671792e-214,capillary,GRB10
MSN,6.96831202004954e-218,0.295073656021895,0.934,0.808,9.96817034468086e-214,capillary,MSN
IVNS1ABP,8.92182165028089e-218,0.66034300452637,0.652,0.401,1.27626658707268e-213,capillary,IVNS1ABP
PCDH12,9.24302490799635e-218,0.681500930240549,0.362,0.129,1.32221471308888e-213,capillary,PCDH12
NOTCH4,5.42418251949549e-213,0.615038382572457,0.536,0.263,7.7592930941383e-209,capillary,NOTCH4
MMP14,1.0509830544495e-211,0.654202724192224,0.536,0.278,1.50343125939001e-207,capillary,MMP14
EXOC3L2,9.08860189193111e-207,0.658408534761122,0.336,0.112,1.30012450064075e-202,capillary,EXOC3L2
NID1,6.40808290321287e-205,0.645289805796386,0.539,0.281,9.16676259304602e-201,capillary,NID1
NRP2,2.18447460548021e-204,0.547324564540544,0.644,0.379,3.12489092313943e-200,capillary,NRP2
KDR,6.19897394526804e-204,0.560044677271548,0.638,0.378,8.86763222870593e-200,capillary,KDR
ESAM,9.49178889997389e-203,0.26795560622346,0.933,0.776,1.35780040214126e-198,capillary,ESAM
PDGFB,9.90345541968206e-202,0.692291404455236,0.364,0.137,1.41668929778552e-197,capillary,PDGFB
EHD4,1.41533600720451e-201,0.45847065507858,0.766,0.53,2.02463815830606e-197,capillary,EHD4
ENTPD1,4.72252857107485e-200,0.457970552993359,0.758,0.5,6.75557712092257e-196,capillary,ENTPD1
SLC9A3R2,3.94020776347352e-199,0.362597014093948,0.721,0.476,5.63646720564887e-195,capillary,SLC9A3R2
ROBO4,4.70318322049271e-196,0.52686678919218,0.692,0.455,6.72790359691482e-192,capillary,ROBO4
FLT1,4.98661889921324e-195,0.521733591174805,0.802,0.574,7.13335833532454e-191,capillary,FLT1
IGFBP3,1.44186430036348e-194,0.780977246738506,0.434,0.19,2.06258688166996e-190,capillary,IGFBP3
EIF4EBP1,3.06420076892851e-192,0.633988974794627,0.457,0.224,4.38333919995223e-188,capillary,EIF4EBP1
ADAMTS7,9.66385355976523e-192,0.59712916313664,0.239,0.061,1.38241425172442e-187,capillary,ADAMTS7
CSTB,8.46160331783543e-190,0.371745370616546,0.876,0.712,1.21043235461636e-185,capillary,CSTB
S100A3,2.01577037295778e-189,0.652845529347785,0.272,0.082,2.8835595185161e-185,capillary,S100A3
DOCK6,7.74932507893596e-187,0.584123948759354,0.529,0.279,1.10854095254179e-182,capillary,DOCK6
QPCT,3.05445234934268e-185,0.574596247529227,0.282,0.088,4.3693940857347e-181,capillary,QPCT
DDI2,9.98502614556622e-185,0.578531701186048,0.316,0.114,1.42835799012325e-180,capillary,DDI2
MYO10,1.26146300303108e-184,0.586735946556425,0.477,0.232,1.80452282583596e-180,capillary,MYO10
COTL1,4.82751829079441e-184,0.514018800442139,0.739,0.504,6.9057649149814e-180,capillary,COTL1
GNAI2,2.20216057286185e-182,0.28888490656708,0.901,0.753,3.15019069947888e-178,capillary,GNAI2
ACVRL1,2.86127407032318e-182,0.458360752919125,0.716,0.485,4.09305255759731e-178,capillary,ACVRL1
CDK2AP1,2.79185743892738e-179,0.568478624221824,0.425,0.195,3.99375206638562e-175,capillary,CDK2AP1
PLXNA2,2.91739875197204e-179,0.609408451729428,0.498,0.257,4.173338914696e-175,capillary,PLXNA2
